Player,Offense,Defense,Scoring,Control,Impact
Steven Adams,123.48237291782455,106.73738131566662,0.6063194692910282,1.6395348837209303,0.06911349785501053
Bam Adebayo,117.39033215233255,106.61390841115298,0.5676714405879169,1.8,0.10856235182325102
LaMarcus Aldridge,115.87020621280608,109.02204619844656,0.5348844597694629,1.7432432432432432,0.07328692372490703
Nickeil Alexander-Walker,92.2945561414544,108.22813316284893,0.3838642434112728,1.85,0.010351635234846772
Grayson Allen,110.77355820887428,116.9955747096187,0.47046400828994916,1.8695652173913044,0.014837015145658923
Jarrett Allen,130.64912220750603,104.29238485996991,0.646052299320872,1.1805555555555556,0.07570570148991661
Kadeem Allen,105.35386144183236,117.28808350715775,0.4810755607332426,2.625,0.003750674020333135
Al-Farouq Aminu,89.3179359399861,109.26628134348273,0.40300102524388903,1.2352941176470589,0.006722454494875959
Justin Anderson,51.358912615072306,109.61358217194007,0.2745508347392466,0.0,-0.00021006021501086743
Kyle Anderson,110.39888917070564,110.19298039092126,0.5222727582174093,2.4,0.03889356282402499
Ryan Anderson,78.98186702332704,95.57650600161136,0.3197998332162858,2.0,0.0006736426675345865
Giannis Antetokounmpo,117.45211088821311,99.33711447987362,0.5608508779656033,1.5741626794258374,0.12993748082167927
Kostas Antetokounmpo,225.0,114.5920574300312,1.0,2.0,0.00016101259712408662
Thanasis Antetokounmpo,99.4208995192187,103.4610172426323,0.49519396627314105,0.8181818181818182,0.0019286413043962873
Carmelo Anthony,102.74470215458018,112.08618164177336,0.4590008854493505,0.9080459770114943,0.04635651285019204
OG Anunoby,114.55068650041291,108.3581783186893,0.5053069956119232,1.32,0.05392209288214274
Ryan Arcidiacono,112.72638414194961,113.19863490073135,0.4609848643964059,2.5945945945945947,0.018193432951225157
Trevor Ariza,133.26620461721134,75.87801282848746,0.5455567887189612,1.625,0.020893153028220444
D.J. Augustin,115.24841440591135,115.76417928129788,0.496248613507627,3.2318840579710146,0.04012724380583365
Deandre Ayton,110.6958907395635,104.80418227212732,0.5383867464402482,0.8028169014084507,0.04667822324248074
Dwayne Bacon,86.86815792978177,114.7826158383069,0.39915816478279836,1.4054054054054055,0.011283194815612628
Marvin Bagley III,101.5959193256849,113.23066304752841,0.4859508424712026,0.5555555555555556,0.011918011471823916
Lonzo Ball,106.09234379660724,105.55104215536264,0.4401936396624618,2.2790697674418605,0.06593629135970493
Mo Bamba,112.11706252523472,104.88415033833911,0.5023664068987668,1.0,0.030417031757679496
J.J. Barea,111.29880669676751,111.69769296301942,0.4671458826438237,2.8285714285714287,0.013563888602719957
Harrison Barnes,114.80108562678514,119.09542846495728,0.5114884551302245,1.9,0.07289180799059344
RJ Barrett,94.61513619123033,116.48693415307633,0.4457133527359858,1.153225806451613,0.04432198933783914
Will Barton,112.22862347621216,113.75435075129809,0.4946024308527663,2.409090909090909,0.06931224831270696
Keita Bates-Diop,134.72432026581112,76.02209878380863,0.5978736539350694,2.142857142857143,0.010298478919035596
Nicolas Batum,107.22612702482323,113.1480370251141,0.44856076540332585,3.0,0.012175146974949593
Aron Baynes,114.0300333847747,109.08388843669302,0.5030409846518143,1.34,0.029366022594489616
Kent Bazemore,115.30756038432813,75.420900516706,0.4962366883751439,1.0,0.017612221691182553
Darius Bazley,90.88613022409882,108.91457765461281,0.40262772576524436,0.725,0.020200527363633015
Bradley Beal,114.19695900212913,114.95848100275406,0.5058113226024505,1.788659793814433,0.11074715610389271
